fecha,tmax_C,hora_tmax,tmin_C,hora_tmin
2023-02-14,20.9,14:33,7.0,07:22
2023-02-15,20.0,15:43,6.7,04:30
2023-02-16,21.3,14:50,4.5,07:00
2023-02-17,20.1,13:35,7.4,04:09
2023-02-18,22.9,14:24,9.8,06:30
2023-02-19,22.1,14:15,10.2,04:05
2023-02-20,21.6,16:11,9.1,07:32
2023-02-21,21.5,11:42,4.9,06:24
2023-02-22,20.9,12:32,6.2,23:43
2023-02-23,18.2,15:25,5.5,00:36
2023-02-24,16.3,12:41,0.9,07:11
2023-02-25,15.3,13:13,3.6,07:01
2023-02-26,18.1,15:17,5.3,06:59
2023-02-27,17.5,14:37,5.4,24:00
2023-02-28,15.8,13:50,-0.4,04:49
2023-03-01,15.9,12:31,-2.7,06:53
2023-03-02,17.6,16:14,-1.9,06:29
2023-03-03,19.6,14:31,-0.2,02:17
2023-03-04,19.6,14:09,3.8,07:20
2023-03-05,18.4,11:18,4.0,03:34
2023-03-06,17.0,11:37,7.8,03:46
2023-03-07,19.9,13:09,11.5,04:16
2023-03-08,20.2,14:22,11.6,23:04
2023-03-09,19.3,14:58,11.5,02:22
2023-03-10,22.1,12:58,7.7,06:13
2023-03-11,24.8,14:41,8.0,03:19
2023-03-12,25.4,14:59,9.1,07:08
2023-03-13,22.4,12:26,7.9,06:55
2023-03-14,22.2,13:53,7.9,06:43
2023-03-15,27.9,15:14,3.4,06:27
2023-03-16,24.0,10:51,4.6,06:39
2023-03-17,20.4,13:04,11.4,07:15
2023-03-18,21.8,14:45,8.9,06:04
2023-03-19,24.5,15:18,6.8,04:29
2023-03-20,25.0,14:40,5.9,06:22
2023-03-21,26.1,13:40,6.6,06:35
2023-03-22,26.1,12:42,5.8,04:00
2023-03-23,24.4,11:21,5.3,04:58
2023-03-24,22.1,12:23,6.2,06:51
2023-03-25,27.2,13:07,7.9,06:08
2023-03-26,28.7,16:17,7.8,05:41
2023-03-27,30.3,15:03,9.4,02:50
2023-03-28,30.3,15:07,5.5,06:24
2023-03-29,30.1,13:20,6.5,03:08
2023-03-30,26.0,11:17,9.5,00:12
2023-03-31,27.6,14:25,4.3,06:18
2023-04-01,24.2,11:58,12.0,05:40
2023-04-02,26.9,15:21,10.0,22:35
2023-04-03,27.3,14:57,5.0,04:21
2023-04-04,23.1,13:54,10.2,02:19
2023-04-05,28.1,14:09,7.1,05:16
2023-04-06,29.2,14:16,4.4,02:47
2023-04-07,29.4,13:15,3.0,04:11
2023-04-08,30.2,12:58,5.9,06:49
2023-04-09,26.9,11:17,6.6,02:55
2023-04-10,29.7,12:19,8.1,05:18
2023-04-11,26.3,10:32,8.7,05:09
2023-04-12,23.7,12:05,7.6,06:05
2023-04-13,22.4,14:19,6.2,06:25
2023-04-14,24.9,13:45,9.1,05:45
2023-04-15,30.1,14:23,9.1,04:31
2023-04-16,31.9,15:25,10.2,01:42
2023-04-17,32.4,14:12,6.8,02:42
2023-04-18,29.9,13:08,5.5,05:07
2023-04-19,30.7,12:44,6.8,05:51
2023-04-20,25.3,14:42,5.2,04:06
2023-04-21,22.0,14:03,10.3,00:23
2023-04-22,25.3,12:19,13.2,23:56
2023-04-23,28.1,14:01,8.6,03:37
2023-04-24,31.9,12:51,9.2,05:46
2023-04-25,33.0,12:11,11.7,06:23
2023-04-26,38.2,12:45,10.3,03:14
2023-04-27,,,,
2023-04-28,32.2,11:15,13.9,04:17
2023-04-29,31.6,12:28,16.1,06:13
2023-04-30,28.8,11:43,14.3,23:22
2023-05-01,26.7,14:13,11.4,05:28
2023-05-02,,,,
2023-05-03,31.1,11:23,12.4,05:20
2023-05-04,27.6,13:01,12.5,06:09
2023-05-05,30.4,11:32,13.5,05:32
2023-05-06,26.5,09:49,13.3,05:54
2023-05-07,28.0,13:36,13.8,05:12
2023-05-08,32.2,10:46,10.0,05:45
2023-05-09,34.4,12:42,13.6,04:02
2023-05-10,32.1,11:14,14.4,05:36
2023-05-11,27.6,09:49,13.1,23:24
2023-05-12,26.3,09:38,8.0,05:21
2023-05-13,28.5,13:50,11.6,02:37
2023-05-14,26.2,13:10,9.7,05:15
2023-05-15,28.1,13:05,7.7,05:21
2023-05-16,31.4,12:58,10.4,05:31
2023-05-17,24.9,10:03,14.6,00:09
2023-05-18,25.7,13:17,10.4,24:00
2023-05-19,25.2,12:21,6.9,05:10
2023-05-20,24.0,11:24,13.6,04:11
2023-05-21,22.7,10:19,12.6,05:44
2023-05-22,24.8,13:32,13.6,05:03
2023-05-23,20.6,15:54,13.6,Varias
2023-05-24,25.7,14:24,11.3,05:00
2023-05-25,25.8,13:07,10.4,04:40
2023-05-26,26.6,12:06,15.9,23:57
2023-05-27,27.0,11:22,14.6,02:49
2023-05-28,24.6,12:20,16.7,23:57
2023-05-29,25.3,12:18,12.2,03:01
2023-05-30,25.3,12:46,13.9,04:30
2023-05-31,27.7,14:05,11.5,03:21
2023-06-01,29.7,12:41,12.5,01:11
2023-06-02,29.1,10:58,12.6,00:31
2023-06-03,29.2,10:51,13.4,00:28
2023-06-04,29.3,09:44,14.4,03:27
2023-06-05,28.9,10:27,15.6,05:10
2023-06-06,36.0,14:14,12.7,04:26
2023-06-07,28.8,11:30,18.4,02:00
2023-06-08,24.0,15:32,18.1,Varias
2023-06-09,25.1,13:19,17.3,04:25
2023-06-10,26.5,13:18,15.1,05:40
2023-06-11,27.0,10:03,15.1,05:26
2023-06-12,26.6,14:19,15.2,04:07
2023-06-13,26.8,11:32,16.2,05:02
2023-06-14,29.3,12:09,14.2,05:26
2023-06-15,37.2,11:57,14.8,03:55
2023-06-16,40.1,13:16,16.8,05:02
2023-06-17,37.7,11:53,17.2,04:40
2023-06-18,29.4,14:10,16.5,05:39
2023-06-19,26.9,13:48,17.1,05:20
2023-06-20,28.3,14:19,16.7,03:47
2023-06-21,27.7,12:58,16.8,01:55
2023-06-22,33.0,11:26,15.0,03:28
2023-06-23,40.5,14:00,16.1,04:30
2023-06-24,41.4,13:38,18.3,03:51
2023-06-25,42.7,14:16,17.5,04:43
2023-06-26,40.3,11:34,17.5,05:26
2023-06-27,37.9,14:49,19.2,23:06
2023-06-28,31.5,13:17,15.9,05:04
2023-06-29,30.2,14:13,19.7,01:28
2023-06-30,29.3,13:27,15.7,04:52
2023-07-01,32.8,13:25,15.5,04:18
2023-07-02,36.0,11:15,19.5,05:19
2023-07-03,31.9,11:21,18.4,05:17
2023-07-04,33.1,14:35,18.0,02:00
2023-07-05,34.2,09:50,14.9,04:20
2023-07-06,30.5,13:46,15.6,05:00
2023-07-07,30.0,12:46,15.4,01:01
2023-07-08,32.9,14:53,14.1,05:10
2023-07-09,37.0,13:12,18.8,04:53
2023-07-10,38.6,14:50,17.0,05:23
2023-07-11,35.4,15:07,21.6,00:07
2023-07-12,38.1,13:09,18.6,03:14
2023-07-13,37.4,10:49,17.4,05:39
2023-07-14,32.7,15:41,20.3,05:38
2023-07-15,31.6,10:12,16.5,03:27
2023-07-16,33.8,12:41,17.7,00:34
2023-07-17,40.1,12:23,17.8,04:00
2023-07-18,34.7,11:00,21.1,02:37
2023-07-19,36.6,11:51,20.1,05:07
2023-07-20,33.4,13:32,20.0,05:52
2023-07-21,30.5,10:34,16.0,05:19
2023-07-22,31.9,13:03,15.6,03:46
2023-07-23,33.3,10:11,13.5,04:19
2023-07-24,31.2,10:10,19.0,01:52
2023-07-25,27.7,11:18,13.8,05:46
2023-07-26,29.0,13:12,14.2,04:07
2023-07-27,27.1,13:29,13.4,02:15
2023-07-28,32.3,14:09,12.4,05:53
2023-07-29,36.5,13:54,14.5,03:21
2023-07-30,33.9,09:29,19.7,23:27
2023-07-31,30.6,12:10,16.1,06:00
2023-08-01,30.9,12:20,13.3,04:40
2023-08-02,32.4,12:11,17.7,05:59
2023-08-03,30.5,11:12,16.9,23:59
2023-08-04,34.9,12:20,11.1,05:19
2023-08-05,40.5,15:24,15.9,05:32
2023-08-06,42.6,12:26,15.0,05:31
2023-08-07,43.3,14:54,17.5,05:56
2023-08-08,39.6,12:39,20.0,06:16
2023-08-09,31.1,12:25,22.0,23:46
2023-08-10,36.4,13:39,19.4,05:52
2023-08-11,40.9,11:23,16.9,06:03
2023-08-12,35.4,14:25,19.3,03:08
2023-08-13,32.7,14:35,16.3,23:22
2023-08-14,31.5,15:44,13.8,05:56
2023-08-15,30.9,13:08,13.8,05:56
2023-08-16,31.2,14:40,15.4,05:39
2023-08-17,31.3,13:39,14.2,05:45
2023-08-18,32.7,11:17,14.9,05:41
2023-08-19,37.9,11:32,16.1,06:00
2023-08-20,39.6,11:19,17.9,05:21
2023-08-21,40.5,12:08,20.4,04:03
2023-08-22,43.8,13:13,17.9,05:07
2023-08-23,42.3,12:15,20.6,05:22
2023-08-24,39.3,10:54,17.2,05:48
2023-08-25,40.9,11:37,19.6,05:46
2023-08-26,39.1,12:10,20.7,04:09
2023-08-27,27.0,12:48,15.8,06:27
2023-08-28,34.3,13:12,14.9,02:30
2023-08-29,34.7,11:32,14.2,03:47
2023-08-30,31.3,10:24,18.6,Varias
2023-08-31,30.5,11:43,15.0,05:05
2023-09-01,32.0,10:45,15.7,05:44
2023-09-02,25.0,09:36,15.9,23:35
2023-09-03,23.9,16:05,14.7,23:04
2023-09-04,26.4,12:57,13.3,05:30
2023-09-05,29.6,14:04,15.9,06:37
2023-09-06,32.0,12:24,15.4,05:16
2023-09-07,30.9,11:06,17.9,23:39
2023-09-08,31.2,10:55,15.2,04:44
2023-09-09,28.5,12:56,18.1,23:27
2023-09-10,29.0,10:33,15.8,01:54
2023-09-11,28.1,14:11,14.7,05:58
2023-09-12,28.8,13:04,15.8,06:22
2023-09-13,30.8,11:03,14.0,03:21
2023-09-14,33.8,11:18,17.2,05:36
2023-09-15,28.2,08:57,19.4,06:10
2023-09-16,26.1,11:28,15.9,03:25
2023-09-17,25.3,14:12,17.3,24:00
2023-09-18,25.5,11:48,12.7,23:42
2023-09-19,27.4,12:50,10.4,06:27
2023-09-20,27.7,11:54,12.8,06:30
2023-09-21,25.4,12:09,13.2,01:46
2023-09-22,26.3,15:17,13.3,05:40
2023-09-23,31.2,14:23,10.8,02:06
2023-09-24,33.5,14:18,13.4,01:36
2023-09-25,33.6,14:09,12.2,02:46
2023-09-26,33.1,13:06,10.9,06:26
2023-09-27,32.5,15:51,12.2,05:51
2023-09-28,35.2,13:36,13.8,04:23
2023-09-29,37.4,12:52,14.0,02:55
2023-09-30,37.0,13:17,11.2,05:50
2023-10-01,36.2,13:02,13.3,06:51
2023-10-02,36.8,13:51,13.1,03:47
2023-10-03,35.6,12:48,13.8,04:22
2023-10-04,34.7,13:58,13.4,06:43
2023-10-05,34.0,13:12,14.4,05:44
2023-10-06,35.3,13:15,14.8,06:58
2023-10-07,35.9,12:40,13.3,06:32
2023-10-08,36.4,14:19,13.7,05:01
2023-10-09,33.0,13:04,10.4,06:33
2023-10-10,32.4,14:15,11.4,05:05
2023-10-11,32.6,14:23,12.2,04:29
2023-10-12,31.6,14:00,13.1,03:59
2023-10-13,29.0,11:04,11.9,05:50
2023-10-14,27.1,12:31,15.5,23:37
2023-10-15,26.4,13:15,13.7,03:25
2023-10-16,26.6,11:19,18.1,06:55
2023-10-17,26.2,09:57,20.7,19:34
2023-10-18,25.2,13:04,19.8,06:09
2023-10-19,22.8,10:02,16.9,23:52
2023-10-20,22.6,14:59,14.5,23:51
2023-10-21,23.7,12:53,9.0,06:41
2023-10-22,21.3,16:15,13.2,23:38
2023-10-23,20.9,15:01,10.8,03:38
2023-10-24,22.2,13:17,8.3,07:01
2023-10-25,24.3,14:05,18.2,23:34
2023-10-26,23.7,12:14,16.6,01:20
2023-10-27,23.2,14:12,14.1,07:04
2023-10-28,23.3,12:56,11.0,06:03
2023-10-29,23.2,11:01,15.9,22:08
2023-10-30,21.3,12:08,14.0,23:14
2023-10-31,17.3,14:58,10.7,23:42
2023-11-01,22.4,13:37,7.8,04:07
2023-11-02,23.5,12:10,12.5,24:00
2023-11-03,20.6,13:39,11.6,00:49
2023-11-04,23.1,12:50,14.5,00:01
2023-11-05,20.8,13:17,10.3,06:09
2023-11-06,20.7,15:35,7.3,07:27
2023-11-07,19.8,14:25,4.9,06:44
2023-11-08,20.2,14:18,5.9,02:44
2023-11-09,22.2,13:12,12.2,23:39
2023-11-10,21.5,12:28,8.4,05:41
2023-11-11,22.4,13:57,13.9,06:46
2023-11-12,24.3,12:59,8.7,07:20
2023-11-13,26.1,15:11,12.2,00:25
2023-11-14,27.6,14:56,11.4,00:54
2023-11-15,27.5,15:15,10.1,00:42
2023-11-16,26.0,14:29,7.8,03:33
2023-11-17,26.8,14:18,9.6,00:04
2023-11-18,25.6,14:11,9.3,05:36
2023-11-19,26.1,14:17,7.4,02:41
2023-11-20,21.6,12:14,6.5,06:22
2023-11-21,22.1,14:11,10.5,06:01
2023-11-22,20.1,13:45,6.2,04:58
2023-11-23,22.1,13:43,4.9,23:35
2023-11-24,20.7,13:51,3.7,05:14
2023-11-25,20.7,13:48,1.1,07:25
2023-11-26,20.2,13:14,1.8,03:23
2023-11-27,19.6,13:28,8.8,21:00
2023-11-28,19.5,12:00,6.9,03:45
2023-11-29,18.7,14:21,13.2,00:01
2023-11-30,20.6,11:38,16.5,01:47
2023-12-01,19.0,01:15,7.6,22:39
2023-12-02,17.2,12:33,4.7,03:42
2023-12-03,16.7,13:35,3.7,07:02
2023-12-04,15.9,11:31,7.5,00:39
2023-12-05,13.4,13:49,9.5,05:40
2023-12-06,15.8,13:17,11.5,06:46
2023-12-07,19.6,12:14,12.6,00:50
2023-12-08,20.1,13:11,10.1,23:57
2023-12-09,20.4,14:56,8.2,05:06
2023-12-10,20.7,14:00,7.3,06:54
2023-12-11,20.4,14:42,8.8,03:05
2023-12-12,21.0,12:40,6.5,03:31
2023-12-13,17.3,15:01,8.0,20:34
2023-12-14,15.7,14:54,2.9,07:37
2023-12-15,,,,
2023-12-16,18.9,14:41,4.3,00:39
2023-12-17,17.8,14:22,2.0,06:46
2023-12-18,16.5,13:58,2.7,22:17
2023-12-19,16.2,14:42,0.9,02:40
2023-12-20,12.1,14:48,-1.3,06:11
2023-12-21,16.5,14:39,2.2,07:17
2023-12-22,19.2,15:06,2.0,07:22
2023-12-23,17.1,14:57,2.0,24:00
2023-12-24,18.3,14:53,-0.2,03:11
2023-12-25,16.7,14:36,1.4,23:59
2023-12-26,15.6,14:35,-1.4,07:28
2023-12-27,17.0,14:45,-0.3,00:10
2023-12-28,17.0,15:05,1.5,01:03
2023-12-29,16.1,14:42,6.8,02:22
2023-12-30,19.4,15:01,4.1,24:00
2023-12-31,15.9,15:12,4.0,00:01
